dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,5,40128,W-TTC,161,0.010352067,0.224892616,106
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,5,40128,ReACT-TTC,104,0.006917231,0.183990479,49
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,5,40128,TTC,104,0.006525344,0.183952332,49
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,6,40129,W-TTC,112,0.007826134,0.182282448,104
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,6,40129,ReACT-TTC,82,0.006455833,0.173072815,16
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,6,40129,TTC,82,0.005789786,0.172714233,16
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,7,40130,W-TTC,94,0.007182391,0.144431114,106
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,7,40130,ReACT-TTC,53,0.005939967,0.167419434,8
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,7,40130,TTC,53,0.005629321,0.167381287,8
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,8,40131,W-TTC,136,0.008960268,0.205338478,105
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,8,40131,ReACT-TTC,75,0.00774068,0.183631897,33
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,8,40131,TTC,75,0.006745149,0.18359375,33
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,9,40132,W-TTC,129,0.007345997,0.170017242,108
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,9,40132,ReACT-TTC,48,0.006979736,0.172409058,9
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,9,40132,TTC,48,0.006274847,0.172370911,9
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,10,40133,W-TTC,181,0.009406623,0.209792137,105
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,10,40133,ReACT-TTC,125,0.009648043,0.184089661,32
combined_data_jd200_1.csv,varying_ev,Total EV,40,40,20,2,2,random,10,40133,TTC,125,0.009027424,0.184051514,32
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,1,60124,W-TTC,402,0.014744035,0.331969261,117
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,1,60124,ReACT-TTC,260,0.014985765,0.427088737,111
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,1,60124,TTC,260,0.013855428,0.427050591,111
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,2,60125,W-TTC,404,0.013293113,0.327009201,110
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,2,60125,ReACT-TTC,296,0.014782178,0.407858849,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,2,60125,TTC,296,0.013624096,0.409285545,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,3,60126,W-TTC,413,0.012607079,0.307513237,112
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,3,60126,ReACT-TTC,339,0.011952631,0.442944527,108
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,3,60126,TTC,339,0.01105841,0.44290638,108
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,4,60127,W-TTC,343,0.013188123,0.2629776,111
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,4,60127,ReACT-TTC,269,0.013344839,0.353027344,59
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,4,60127,TTC,269,0.016717907,0.358772278,59
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,5,60128,W-TTC,300,0.014843083,0.308359146,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,5,60128,ReACT-TTC,206,0.015098116,0.392967224,108
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,5,60128,TTC,206,0.014009666,0.392929077,108
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,6,60129,W-TTC,359,0.012510002,0.301299095,109
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,6,60129,ReACT-TTC,236,0.01509179,0.348976135,61
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,6,60129,TTC,236,0.014049921,0.348937988,61
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,7,60130,W-TTC,306,0.012206571,0.280776024,108
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,7,60130,ReACT-TTC,223,0.013708734,0.353721619,40
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,7,60130,TTC,223,0.012117847,0.353683472,40
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,8,60131,W-TTC,351,0.012777737,0.307896614,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,8,60131,ReACT-TTC,281,0.013305022,0.346611023,46
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,8,60131,TTC,281,0.012490087,0.346572876,46
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,9,60132,W-TTC,302,0.014412671,0.296067238,104
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,9,60132,ReACT-TTC,253,0.013748835,0.42382431,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,9,60132,TTC,253,0.011914125,0.423786163,107
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,10,60133,W-TTC,344,0.014361183,0.331594467,106
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,10,60133,ReACT-TTC,277,0.013332379,0.449924469,106
combined_data_jd200_1.csv,varying_ev,Total EV,60,60,30,2,2,random,10,60133,TTC,277,0.01252573,0.448421478,106
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,1,80124,W-TTC,612,0.017198043,0.407752991,109
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,1,80124,ReACT-TTC,426,0.024794195,0.555999756,69
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,1,80124,TTC,426,0.023089275,0.555961609,69
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,2,80125,W-TTC,579,0.019013203,0.328974724,123
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,2,80125,ReACT-TTC,491,0.022229007,0.574904442,131
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,2,80125,TTC,491,0.020226834,0.574866295,131
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,3,80126,W-TTC,707,0.020147484,0.413892746,117
combined_data_jd200_1.csv,varying_ev,Total EV,80,80,40,2,2,random,3,80126,ReACT-TTC,543,0.020190621,0.62719059,111
